week_id,week_position,song,performer,spotify_genre_clean
5/1/2021,26,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,NA
5/8/2021,27,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,NA
5/15/2021,29,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,NA
5/22/2021,36,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,NA
3/13/2021,4,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,NA
3/20/2021,9,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,NA
3/27/2021,9,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,NA
1/2/2010,10,3,Britney Spears,pop
1/9/2010,13,3,Britney Spears,pop
1/16/2010,16,3,Britney Spears,pop
1/30/2010,24,3,Britney Spears,pop
2/6/2010,35,3,Britney Spears,pop
2/13/2010,39,3,Britney Spears,pop
1/23/2010,15,3,Britney Spears,pop
12/31/2016,29,4 Your Eyez Only,J. Cole,hip hop
7/18/2020,39,44 Bulldog,Pop Smoke,other
3/10/2018,22,44 More,Logic,hip hop
3/24/2018,46,44 More,Logic,hip hop
4/8/2017,50,4422,Drake Featuring Sampha,hip hop
7/29/2017,35,4:44,JAY-Z,hip hop
6/23/2018,42,4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,hip hop
10/22/2011,30,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
12/10/2011,11,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
10/29/2011,25,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
11/19/2011,11,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
12/17/2011,11,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
12/24/2011,10,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
11/12/2011,14,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
11/5/2011,20,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
11/26/2011,12,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
12/3/2011,15,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
12/31/2011,10,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
1/7/2012,13,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
1/21/2012,22,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
1/28/2012,29,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
2/4/2012,40,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
1/14/2012,16,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,NA
8/18/2018,36,5% Tint,Travis Scott,rap
7/14/2012,34,5-1-5-0,Dierks Bentley,country
7/21/2012,37,5-1-5-0,Dierks Bentley,country
7/28/2012,36,5-1-5-0,Dierks Bentley,country
8/4/2012,33,5-1-5-0,Dierks Bentley,country
6/23/2012,48,5-1-5-0,Dierks Bentley,country
7/7/2012,37,5-1-5-0,Dierks Bentley,country
6/30/2012,40,5-1-5-0,Dierks Bentley,country
8/11/2012,40,5-1-5-0,Dierks Bentley,country
9/15/2012,32,50 Ways To Say Goodbye,Train,rock
9/22/2012,31,50 Ways To Say Goodbye,Train,rock
9/29/2012,30,50 Ways To Say Goodbye,Train,rock
10/6/2012,26,50 Ways To Say Goodbye,Train,rock
9/8/2012,34,50 Ways To Say Goodbye,Train,rock
10/13/2012,30,50 Ways To Say Goodbye,Train,rock
10/20/2012,28,50 Ways To Say Goodbye,Train,rock
10/27/2012,24,50 Ways To Say Goodbye,Train,rock
11/3/2012,20,50 Ways To Say Goodbye,Train,rock
11/10/2012,21,50 Ways To Say Goodbye,Train,rock
11/17/2012,24,50 Ways To Say Goodbye,Train,rock
12/8/2012,44,50 Ways To Say Goodbye,Train,rock
11/24/2012,24,50 Ways To Say Goodbye,Train,rock
12/1/2012,28,50 Ways To Say Goodbye,Train,rock
2/19/2011,18,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
1/1/2011,9,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
1/8/2011,11,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
1/15/2011,17,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
1/22/2011,12,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
2/26/2011,16,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
2/5/2011,14,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
3/5/2011,20,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
3/12/2011,28,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
1/29/2011,11,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
2/12/2011,17,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
3/19/2011,24,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
3/26/2011,21,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
4/2/2011,28,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
4/9/2011,30,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
4/16/2011,32,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
4/23/2011,32,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
5/14/2011,35,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
5/21/2011,44,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
4/30/2011,33,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
5/7/2011,34,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,hip hop
5/14/2016,18,6 Inch,Beyonce Featuring The Weeknd,rap
5/21/2016,28,6 Inch,Beyonce Featuring The Weeknd,rap
7/18/2015,34,679,Fetty Wap Featuring Remy Boyz,rap
7/25/2015,19,679,Fetty Wap Featuring Remy Boyz,rap
8/1/2015,18,679,Fetty Wap Featuring Remy Boyz,rap
9/12/2015,7,679,Fetty Wap Featuring Remy Boyz,rap
8/22/2015,17,679,Fetty Wap Featuring Remy Boyz,rap
9/19/2015,8,679,Fetty Wap Featuring Remy Boyz,rap
